"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000136925",-0.2691168,3.801578,-2.090559,0.04725005,0.1698443,-4.904823
"ENSG00000225175",1.001447,-4.298956,2.090553,0.04725067,0.1698443,-4.012862
"ENSG00000164627",1.280149,-3.29423,2.090301,0.0472752,0.1699085,-3.966603
"ENSG00000233012",0.8360706,-4.343611,2.090263,0.04727894,0.1699085,-4.017578
"ENSG00000167377",-0.4371239,0.8199626,-2.090169,0.04728815,0.1699229,-4.409058
"ENSG00000130363",-0.2645743,3.342441,-2.089997,0.04730489,0.1699644,-4.833704
"ENSG00000226081",0.7343761,-4.478427,2.089857,0.04731857,0.1699948,-4.027279
"ENSG00000132623",-0.4428381,2.494561,-2.089363,0.04736685,0.1701495,-4.691683
"ENSG00000279220",1.122013,-3.934202,2.089166,0.0473861,0.1702,-3.993077
"ENSG00000196345",-0.5307844,1.274104,-2.088973,0.04740489,0.1702487,-4.484809
"ENSG00000185614",0.7980251,1.652328,2.088887,0.04741331,0.1702602,-4.550986
"ENSG00000221878",1.010801,-4.274159,2.088326,0.04746828,0.1704389,-4.015346
"ENSG00000274380",0.8492948,-4.258811,2.088269,0.04747378,0.1704398,-4.016604
"ENSG00000246777",1.002368,-3.550538,2.087981,0.04750201,0.1704906,-3.972277
"ENSG00000145975",0.9474369,-2.41968,2.087981,0.04750204,0.1704906,-3.981289
"ENSG00000235674",0.6557111,-1.009172,2.087965,0.04750358,0.1704906,-4.144785
"ENSG00000279962",-0.9016493,-3.904379,-2.087873,0.04751265,0.1705044,-3.992289
"ENSG00000149575",0.9572027,-3.849402,2.087489,0.04755025,0.1706206,-3.989655
"ENSG00000279495",-0.5489892,-0.1572109,-2.087372,0.04756175,0.1706431,-4.262249
"ENSG00000167272",0.1749322,5.294278,2.087226,0.04757602,0.1706593,-5.124733
"ENSG00000182393",-0.687302,-1.569322,-2.087219,0.04757672,0.1706593,-4.070449
"ENSG00000140279",1.188472,-3.205954,2.086609,0.04763656,0.1708551,-3.968471
"ENSG00000164099",0.8281842,-4.441579,2.086513,0.04764608,0.1708705,-4.029766
"ENSG00000274363",1.051304,-3.812554,2.086276,0.04766931,0.170914,-3.989706
"ENSG00000070190",-0.2772736,6.53082,-2.086259,0.04767102,0.170914,-5.288108
"ENSG00000256955",0.9869306,-3.883469,2.086217,0.04767514,0.170914,-3.99417
"ENSG00000185737",0.9915821,-4.123995,2.08614,0.04768264,0.170914,-4.011043
"ENSG00000078674",-0.1797713,7.096646,-2.086123,0.04768438,0.170914,-5.362537
"ENSG00000227845",0.8326961,-4.441579,2.08572,0.04772403,0.1710297,-4.031117
"ENSG00000104472",-0.2342941,5.429389,-2.085688,0.04772716,0.1710297,-5.144383
"ENSG00000229334",1.012255,-2.541684,2.085584,0.04773741,0.1710477,-3.97819
"ENSG00000244116",0.980995,-4.203834,2.085435,0.04775207,0.171067,-4.017164
"ENSG00000125454",0.2183177,3.935919,2.085422,0.04775329,0.171067,-4.937032
"ENSG00000270421",-0.8129276,-4.172537,-2.085236,0.0477716,0.1711138,-4.009335
"ENSG00000140557",1.114181,-3.713279,2.084942,0.04780061,0.171199,-3.986439
"ENSG00000149091",-0.2398743,7.98294,-2.084857,0.04780897,0.1712078,-5.479498
"ENSG00000196862",-1.066968,-3.536063,-2.08481,0.04781355,0.1712078,-3.98449
"ENSG00000233858",0.835803,-4.441579,2.084134,0.04788025,0.1713991,-4.033818
"ENSG00000174572",0.9648123,-4.36233,2.084119,0.04788167,0.1713991,-4.027188
"ENSG00000219773",0.8236635,-4.441579,2.084108,0.04788275,0.1713991,-4.033861
"ENSG00000198795",0.9377353,-0.04432086,2.084049,0.04788857,0.1714012,-4.285536
"ENSG00000179284",0.8170861,-3.305768,2.083898,0.04790353,0.1714359,-3.967979
"ENSG00000130558",-1.597465,2.373997,-2.083717,0.0479214,0.1714811,-4.656335
"ENSG00000258860",1.000208,-3.439993,2.083435,0.04794924,0.1715619,-3.97543
"ENSG00000283285",0.8346251,-4.36233,2.083274,0.04796519,0.1716001,-4.031037
"ENSG00000261020",1.042108,-4.325482,2.083017,0.04799052,0.1716281,-4.026121
"ENSG00000175137",0.4382962,3.630699,2.082996,0.04799267,0.1716281,-4.89435
"ENSG00000109452",-0.4346913,6.407744,-2.082988,0.04799344,0.1716281,-5.276997
"ENSG00000287167",0.9690227,-3.537961,2.082909,0.04800123,0.1716281,-3.979787
"ENSG00000114013",-0.2668396,7.021848,-2.082859,0.0480062,0.1716281,-5.358455
"ENSG00000184012",1.001293,-3.830682,2.082837,0.04800833,0.1716281,-3.996467
"ENSG00000201749",0.8505054,-4.441579,2.082822,0.04800981,0.1716281,-4.036051
"ENSG00000134709",-0.4735971,2.836369,-2.082759,0.04801603,0.1716315,-4.760894
"ENSG00000148948",0.9581152,-4.056441,2.082343,0.04805719,0.1717541,-4.012738
"ENSG00000163655",0.1761424,5.795514,2.082306,0.04806085,0.1717541,-5.200267
"ENSG00000160972",0.3491401,3.187953,2.082244,0.048067,0.1717573,-4.82518
"ENSG00000124215",-0.7234485,-0.2259831,-2.082087,0.04808252,0.171794,-4.259482
"ENSG00000189164",-0.3698087,2.457442,-2.081706,0.04812034,0.1719103,-4.700209
"ENSG00000272677",0.4107917,1.320247,2.081641,0.04812675,0.1719143,-4.510366
"ENSG00000233360",0.9934133,-3.611658,2.081435,0.04814718,0.1719685,-3.985988
"ENSG00000168556",0.2592268,3.416411,2.081308,0.04815978,0.1719947,-4.863848
"ENSG00000275993",-1.375524,1.481077,-2.081078,0.04818254,0.1720541,-4.519815
"ENSG00000254739",0.8775409,-4.319339,2.081034,0.04818697,0.1720541,-4.031309
"ENSG00000241832",0.9007785,-4.21582,2.080897,0.04820055,0.1720838,-4.025774
"ENSG00000249532",0.8024333,-4.283082,2.080837,0.0482065,0.1720862,-4.031168
"ENSG00000277159",1.097247,-4.063466,2.080732,0.04821696,0.1721048,-4.016002
"ENSG00000238212",0.9479766,-4.306762,2.080347,0.04825515,0.1722222,-4.031464
"ENSG00000280828",0.5939758,-0.5972186,2.080216,0.04826813,0.1722497,-4.215045
"ENSG00000179632",0.2229595,7.904131,2.079938,0.04829578,0.1723064,-5.479418
"ENSG00000278318",-0.8874785,-0.1013648,-2.079923,0.04829734,0.1723064,-4.278941
"ENSG00000250317",0.2347002,3.944553,2.079885,0.04830102,0.1723064,-4.948415
"ENSG00000145725",-0.1837774,6.293503,-2.079844,0.04830512,0.1723064,-5.26924
"ENSG00000129003",-0.1683277,7.144991,-2.079732,0.04831631,0.1723233,-5.380551
"ENSG00000120899",-0.2065262,7.958043,-2.079683,0.04832119,0.1723233,-5.485931
"ENSG00000188613",-1.078643,-2.215483,-2.079637,0.04832571,0.1723233,-4.020534
"ENSG00000130725",0.2337363,5.549876,2.07937,0.04835229,0.1723993,-5.173187
"ENSG00000106049",-0.1915256,4.795242,-2.07927,0.04836222,0.1724159,-5.07026
"ENSG00000102580",0.2440336,6.011787,2.07919,0.0483702,0.1724255,-5.234442
"ENSG00000119906",-0.1926007,5.319734,-2.07913,0.04837618,0.172428,-5.141818
"ENSG00000224346",0.9990196,-3.892393,2.078468,0.04844216,0.1726097,-4.007772
"ENSG00000136531",1.261935,-2.913168,2.078315,0.04845736,0.1726097,-3.989412
"ENSG00000157617",-0.3098169,3.193451,-2.07831,0.04845788,0.1726097,-4.830418
